group	names	scores	logfoldchanges	pvals	pvals_adj
14	PREX2	14.793491	4.8940144	1.6136083644732753e-49	2.2715261441571674e-46
14	NOVA1	14.608488	3.82981	2.4795881884738106e-48	3.241264545940355e-45
14	GPR158	14.565099	4.4222736	4.6830968070830034e-48	5.910552628829139e-45
14	SEMA3A	14.506199	2.8642783	1.106865865379918e-47	1.350413251292346e-44
14	GALNT13	14.47518	3.8523858	1.7387109242493526e-47	2.0528567270467921e-44
14	CNTNAP2	14.396964	4.3727283	5.406687732012262e-47	6.18406805248065e-44
14	IL1RAPL1	14.133461	4.949039	2.3624313572062942e-45	2.6202227304578052e-42
14	CACNA1D	13.965722	3.5322227	2.523358976717708e-44	2.565485052967912e-41
14	MEG3	13.875741	3.8192363	8.886968680060433e-44	8.791133531321404e-41
14	LSAMP	13.725069	3.1616323	7.186066695854433e-43	6.921505977236002e-40
14	SLC24A3	13.669531	4.5764513	1.5438721110878137e-42	1.4489041830237196e-39
14	DCLK2	13.618145	3.5823734	3.124014890164749e-42	2.722430214164761e-39
14	RBFOX1	13.302873	4.7002225	2.2274177748139637e-40	1.8528572267264973e-37
14	FRMD5	13.208147	3.3937201	7.873907043719008e-40	6.265062428416509e-37
14	RGS7	13.075456	3.3301775	4.5482813160206475e-39	3.3973804989320764e-36
14	CACNA1C	12.913526	3.130897	3.776084194442828e-38	2.559415881496332e-35
14	ADGRL3	12.908125	3.697079	4.050445050200551e-38	2.6954607142252796e-35
14	GRID2	12.811483	3.4558766	1.4140564183745126e-37	9.079978766478164e-35
14	AC092691.1	12.674158	3.3449614	8.223705756032876e-37	5.016597572942655e-34
14	KCNJ3	12.669907	4.755486	8.681760369038707e-37	5.209198545363701e-34
14	NRXN3	12.598797	3.717605	2.1438903841139145e-36	1.2455322531579901e-33
14	DPP6	12.576886	4.048038	2.8296600393849246e-36	1.569217986386782e-33
14	PSD3	12.559461	2.578975	3.527285618917136e-36	1.9268982229550163e-33
14	NFIB	12.388175	3.5301492	3.028573470004422e-35	1.606504602545389e-32
14	EBF1	12.334256	5.1516623	5.92336634084022e-35	3.053537062550604e-32
14	DACH1	12.266594	3.4258115	1.3689122200662359e-34	6.863500844745794e-32
14	GRIP1	12.100512	3.8761418	1.0495543162133047e-33	4.988926951652359e-31
14	NRG3	12.0566025	2.87367	1.7901683719342858e-33	8.400250330918819e-31
14	TRHDE	12.006885	5.9888163	3.269291201975961e-33	1.495741591044027e-30
15	ADARB2	18.957764	7.3371086	3.809977810379268e-80	1.3944899783769158e-75
15	CSMD3	18.01375	6.2604237	1.519730956730785e-72	2.781183637365173e-68
15	CACNA2D1	17.729252	4.5996046	2.4932848215523653e-70	3.0418905917879375e-66
15	PTPRG	17.268147	4.9840918	8.172570502510349e-67	7.478106324059532e-63
15	ADGRL2	17.172628	4.4711843	4.2570543534426034e-66	3.1162489278070548e-62
15	GRM7	17.150253	5.045314	6.257886314754792e-66	3.8174149501056688e-62
15	SLC4A10	17.079466	4.2858996	2.1104095527832437e-65	1.1034728577345642e-61
15	NRG3	16.797937	4.528066	2.526763309426151e-63	1.1560257986038318e-59
15	ZNF804B	16.418398	5.398376	1.4124767338402516e-60	5.744228992809672e-57
15	SAMSN1	16.346506	4.6109548	4.606431860458652e-60	1.6860001252464712e-56
15	OLFM3	16.29789	5.2549515	1.021604440819401e-59	3.1641592429752777e-56
15	ROBO2	16.295273	5.2570324	1.0662724814163052e-59	3.1641592429752777e-56
15	RIMS1	16.292057	4.67933	1.123850992013295e-59	3.1641592429752777e-56
15	COL19A1	16.234459	9.224018	2.8777171594680364e-59	7.523380410977829e-56
15	DGKB	16.223042	5.056595	3.4660165195707827e-59	8.457311375520681e-56
15	ASIC2	16.17663	4.579725	7.3720054296396405e-59	1.686392317064003e-55
15	CA10	16.113651	5.065809	2.0458056703077302e-58	4.404619608172543e-55
15	ST6GALNAC3	16.000473	5.1904316	1.2680862586341082e-57	2.5785125084592773e-54
15	ADGRB3	15.986424	4.5867643	1.588935078600971e-57	3.0608743585196916e-54
15	DLG2	15.876421	2.7690752	9.229667895681125e-57	1.6698672463979626e-53
15	NRXN3	15.874078	4.986499	9.580943737700395e-57	1.6698672463979626e-53
15	MDGA2	15.737748	4.759957	8.335712990977255e-56	1.3867974144670842e-52
15	KCTD16	15.653431	4.68559	3.1478360689061286e-55	5.009302085131879e-52
15	NETO1	15.631792	4.6202683	4.421881243910346e-55	6.743553142015107e-52
15	DOK5	15.534053	5.557053	2.0406588257401648e-54	2.987606147236631e-51
15	DOK6	15.527812	4.3991003	2.2492475374131375e-54	3.16633496603301e-51
15	RUNX1T1	15.514077	4.2414804	2.7861333878243627e-54	3.776861782509611e-51
